"id"	"name"	"synonym"	"def"	"is_a"	"xref"	"relationship"	"comment"	"is_obsolete"	"replaced_by"	"property_value"	"other"
"MS:1000022"	"TOF Total Path Length"	NA	"\"The length of the field free drift space in a time of flight mass spectrometer.\" [PSI:MS]"	"MS:1000480 ! mass analyzer attribute"	"value-type:xsd\:float \"The allowed value-type for this CV term.\""	"has_units UO:0000008 ! meter; has_value_type xsd\:float ! The allowed value-type for this CV term"	NA	FALSE	NA	NA	NA
"MS:1000023"	"isolation width"	NA	"\"OBSOLETE The total width (i.e. not half for plus-or-minus) of the gate applied around a selected precursor ion.\" [PSI:MS]"	NA	"value-type:xsd\:float \"The allowed value-type for this CV term.\""	"has_units MS:1000040 ! m/z; has_value_type xsd\:float ! The allowed value-type for this CV term"	"This former purgatory term was made obsolete."	TRUE	NA	NA	NA
"MS:1000024"	"final MS exponent"	NA	"\"Final MS level achieved when performing PFF with the ion trap (e.g. MS E10).\" [PSI:MS]"	"MS:1000480 ! mass analyzer attribute"	"value-type:xsd\:int \"The allowed value-type for this CV term.\""	"has_value_type xsd\:int ! The allowed value-type for this CV term"	NA	FALSE	NA	NA	NA
"MS:1000025"	"magnetic field strength"	"\"Magnetic Field\" RELATED []"	"\"A property of space that produces a force on a charged particle equal to qv x B where q is the particle charge and v its velocity.\" [PSI:MS]"	"MS:1000480 ! mass analyzer attribute"	"value-type:xsd\:float \"The allowed value-type for this CV term.\""	"has_units UO:0000228 ! tesla; has_value_type xsd\:float ! The allowed value-type for this CV term"	NA	FALSE	NA	NA	NA
"MS:1000026"	"detector type"	NA	"\"Type of detector used in the mass spectrometer.\" [PSI:MS]"	NA	NA	"part_of MS:1000453 ! detector"	NA	FALSE	NA	NA	NA
"MS:1000027"	"detector acquisition mode"	NA	"\"Method by which detector signal is acquired by the data system.\" [PSI:MS]"	NA	NA	"part_of MS:1000453 ! detector"	NA	FALSE	NA	NA	NA
"MS:1000028"	"detector resolution"	NA	"\"The resolving power of the detector to detect the smallest difference between two ions so that the valley between them is a specified fraction of the peak height.\" [PSI:MS]"	"MS:1000481 ! detector attribute"	"value-type:xsd\:float \"The allowed value-type for this CV term.\""	"has_value_type xsd\:float ! The allowed value-type for this CV term"	NA	FALSE	NA	NA	NA
"MS:1000029"	"sampling frequency"	"\"ADC Sampling Frequency\" NARROW []"	"\"The rate of signal sampling (measurement) with respect to time.\" [PSI:MS]"	"MS:1000481 ! detector attribute"	"value-type:xsd\:float \"The allowed value-type for this CV term.\""	"has_units UO:0000106 ! hertz; has_value_type xsd\:float ! The allowed value-type for this CV term"	NA	FALSE	NA	NA	NA
"MS:1000030"	"vendor"	NA	"\"OBSOLETE Name of instrument vendor.\" [PSI:MS]"	NA	NA	NA	"This term was made obsolete because it was replaced by instrument model (MS:1000031)."	TRUE	NA	NA	NA
"MS:1000031"	"instrument model"	NA	"\"Instrument model name not including the vendor's name.\" [PSI:MS]"	NA	NA	"part_of MS:1000463 ! instrument"	NA	FALSE	NA	NA	NA
"MS:1000032"	"customization"	NA	"\"Free text description of a single customization made to the instrument; for several modifications, use several entries.\" [PSI:MS]"	"MS:1000496 ! instrument attribute"	"value-type:xsd\:string \"The allowed value-type for this CV term.\""	"has_value_type xsd\:string ! The allowed value-type for this CV term"	NA	FALSE	NA	NA	NA
"MS:1000033"	"deisotoping"	NA	"\"The removal of isotope peaks to represent the fragment ion as one data point and is commonly done to reduce complexity. It is done in conjunction with the charge state deconvolution.\" [PSI:MS]"	"MS:1000543 ! data processing action"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000034"	"charge deconvolution"	NA	"\"The determination of the mass of an ion based on the mass spectral peaks that represent multiple-charge ions.\" [PSI:MS]"	"MS:1000543 ! data processing action"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000035"	"peak picking"	NA	"\"Spectral peak processing conducted on the acquired data to convert profile data to centroided data.\" [PSI:MS]"	"MS:1000543 ! data processing action"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000036"	"scan mode"	NA	"\"OBSOLETE.\" [PSI:MS]"	NA	NA	NA	"This term was made obsolete because ."	TRUE	NA	NA	NA
"MS:1000037"	"polarity"	NA	"\"OBSOLETE Terms to describe the polarity setting of the instrument.\" [PSI:MS]"	NA	NA	NA	"This term was made obsolete because it was redundant with the Pato Ontology term polarity (UO:0002186)."	TRUE	NA	NA	NA
"MS:1000038"	"minute"	NA	"\"OBSOLETE Acquisition time in minutes.\" [PSI:MS]"	NA	NA	NA	"This term was made obsolete because it was redundant with Unit Ontology minute (UO:0000031)."	TRUE	NA	NA	NA
"MS:1000039"	"second"	NA	"\"OBSOLETE Acquisition time in seconds.\" [PSI:MS]"	NA	NA	NA	"This term was made obsolete because it was redundant with Unit Ontology second (UO:0000010)."	TRUE	NA	NA	NA
"MS:1000040"	"m/z"	"\"thomson\" EXACT []"	"\"Three-character symbol m/z is used to denote the quantity formed by dividing the mass of an ion in unified atomic mass units by its charge number (regardless of sign). The symbol is written in italicized lower case letters with no spaces. Note 1: The term mass-to-charge-ratio is deprecated. Mass-to-charge ratio has been used for the abscissa of a mass spectrum, although the quantity measured is not the quotient of the ion's mass to its electric charge. The three-character symbol m/z is recommended for the quantity that is the independent variable in a mass spectrum Note 2: The proposed unit thomson (Th) is deprecated.\" [PSI:MS]"	"UO:0000000 ! unit"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000041"	"charge state"	"\"z\" EXACT []"	"\"Number of net charges, positive or negative, on an ion.\" [PSI:MS]"	"MS:1000507 ! ion property"	"value-type:xsd\:int \"The allowed value-type for this CV term.\""	"has_value_type xsd\:int ! The allowed value-type for this CV term"	NA	FALSE	NA	NA	NA
"MS:1000042"	"peak intensity"	NA	"\"Intensity of ions as measured by the height or area of a peak in a mass spectrum.\" [PSI:MS]"	"MS:1000455 ! ion selection attribute"	"value-type:xsd\:float \"The allowed value-type for this CV term.\""	"has_units MS:1000131 ! number of detector counts; has_units MS:1000132 ! percent of base peak; has_units MS:1000814 ! counts per second; has_units MS:1000905 ! percent of base peak times 100; has_units UO:0000269 ! absorbance unit; part_of MS:1000231 ! peak; has_value_type xsd\:float ! The allowed value-type for this CV term"	NA	FALSE	NA	NA	NA
"MS:1000043"	"intensity unit"	NA	"\"Intensity units are commonly arbitrary. Detected in counts per second (cps) when using counting detectors, but measured in volts when using analog detectors.\" [PSI:MS]"	"UO:0000000 ! unit"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000044"	"dissociation method"	"\"Activation Method\" RELATED []"	"\"Fragmentation method used for dissociation or fragmentation.\" [PSI:MS]"	NA	NA	"part_of MS:1000456 ! precursor activation"	NA	FALSE	NA	NA	NA
"MS:1000045"	"collision energy"	NA	"\"Energy for an ion experiencing collision with a stationary gas particle resulting in dissociation of the ion.\" [PSI:MS]"	"MS:1000510 ! precursor activation attribute"	"value-type:xsd\:float \"The allowed value-type for this CV term.\""	"has_units UO:0000266 ! electronvolt; has_value_type xsd\:float ! The allowed value-type for this CV term"	NA	FALSE	NA	NA	NA
"MS:1000046"	"energy unit"	NA	"\"OBSOLETE Energy units are represented in either eV or Joules.\" [PSI:MS]"	"UO:0000000 ! unit"	NA	NA	"This term was made obsolete because it was redundant with the Unit Ontology term energy unit (UO:0000111)."	TRUE	NA	NA	NA
"MS:1000047"	"emulsion"	NA	"\"State if the sample is in emulsion form.\" [PSI:MS]"	"MS:1000003 ! sample state"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000048"	"gaseous sample state"	NA	"\"State if the sample is in gaseous form.\" [PSI:MS]"	"MS:1000003 ! sample state"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000049"	"liquid sample state"	NA	"\"State if the sample is in liquid form.\" [PSI:MS]"	"MS:1000003 ! sample state"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000050"	"solid sample state"	NA	"\"State if the sample is in solid form.\" [PSI:MS]"	"MS:1000003 ! sample state"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000051"	"solution"	NA	"\"State if the sample is in solution form.\" [PSI:MS]"	"MS:1000003 ! sample state"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000052"	"suspension"	NA	"\"State if the sample is in suspension form.\" [PSI:MS]"	"MS:1000003 ! sample state"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000053"	"sample batch"	NA	"\"Sample batch lot identifier.\" [PSI:MS]"	"MS:1000548 ! sample attribute"	"value-type:xsd\:string \"The allowed value-type for this CV term.\""	"has_value_type xsd\:string ! The allowed value-type for this CV term"	NA	FALSE	NA	NA	NA
"MS:1000054"	"chromatography"	NA	"\"OBSOLETE Chromatographic conditions used to obtain the sample.\" [PSI:MS]"	NA	NA	NA	"This former purgatory term was made obsolete."	TRUE	NA	NA	NA
"MS:1000055"	"continuous flow fast atom bombardment"	"\"CF-FAB\" EXACT []"	"\"Fast atom bombardment ionization in which the analyte in solution is entrained in a flowing liquid matrix.\" [PSI:MS]"	"MS:1000007 ! inlet type"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000056"	"direct inlet"	NA	"\"The sample is directly inserted into the ion source, usually on the end of a heatable probe.\" [PSI:MS]"	"MS:1000007 ! inlet type"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000057"	"electrospray inlet"	NA	"\"Inlet used for introducing the liquid sample into an electrospray ionization source.\" [PSI:MS]"	"MS:1000007 ! inlet type"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000058"	"flow injection analysis"	NA	"\"Sample is directly injected or infused into the ionization source.\" [PSI:MS]"	"MS:1000007 ! inlet type"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000059"	"inductively coupled plasma"	NA	"\"A gas discharge ion source in which the energy to the plasma is supplied by electromagnetic induction.\" [PSI:MS]"	"MS:1000007 ! inlet type"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000060"	"infusion"	NA	"\"The continuous flow of solution of a sample into the ionization source.\" [PSI:MS]"	"MS:1000007 ! inlet type"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000061"	"jet separator"	NA	"\"A device that separates carrier gas from gaseous analyte molecules on the basis of diffusivity.\" [PSI:MS]"	"MS:1000007 ! inlet type"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000062"	"membrane separator"	NA	"\"A device to separate carrier molecules from analyte molecules on the basis of ease of diffusion across a semipermeable membrane.\" [PSI:MS]"	"MS:1000007 ! inlet type"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000063"	"moving belt"	NA	"\"Continuous moving surface in the form of a belt which passes through an ion source carrying analyte molecules.\" [PSI:MS]"	"MS:1000007 ! inlet type"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000064"	"moving wire"	NA	"\"Continuous moving surface in the form of a wire which passes through an ion source carrying analyte molecules.\" [PSI:MS]"	"MS:1000007 ! inlet type"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000065"	"open split"	NA	"\"A division of flowing stream of liquid into two streams.\" [PSI:MS]"	"MS:1000007 ! inlet type"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000066"	"particle beam"	NA	"\"Method for generating ions from a solution of an analyte.\" [PSI:MS]"	"MS:1000007 ! inlet type"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000067"	"reservoir"	NA	"\"A sample inlet method involving a reservoir.\" [PSI:MS]"	"MS:1000007 ! inlet type"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000068"	"septum"	NA	"\"A disc composed of a flexible material that seals the entrance to the reservoir. Can also be entrance to the vacuum chamber.\" [PSI:MS]"	"MS:1000007 ! inlet type"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000069"	"thermospray inlet"	NA	"\"A method for generating gas phase ions from a solution of an analyte by rapid heating of the sample.\" [PSI:MS]"	"MS:1000007 ! inlet type"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000070"	"atmospheric pressure chemical ionization"	"\"APCI\" EXACT []"	"\"Chemical ionization that takes place at atmospheric pressure as opposed to the reduced pressure is normally used for chemical ionization.\" [PSI:MS]"	"MS:1000240 ! atmospheric pressure ionization"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000071"	"chemical ionization"	"\"CI\" EXACT []"	"\"The formation of a new ion by the reaction of a neutral species with an ion. The process may involve transfer of an electron, a proton or other charged species between the reactants. When a positive ion results from chemical ionization the term may be used without qualification. When a negative ion results the term negative ion chemical ionization should be used. Note that this term is not synonymous with chemi-ionization.\" [PSI:MS]"	"MS:1000008 ! ionization type"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000072"	"Electronic Ionization"	"\"EI\" EXACT []"	"\"OBSOLETE The ionization of an atom or molecule by electrons that are typically accelerated to energies between 50 and 150 eV. Usually 70 eV electrons are used to produce positive ions. The term 'electron impact' is not recommended.\" [PSI:MS]"	NA	NA	NA	"This term was made obsolete because it was replaced by electron ionization (MS:1000389)."	TRUE	NA	NA	NA
"MS:1000073"	"electrospray ionization"	"\"ESI\" EXACT []"	"\"A process in which ionized species in the gas phase are produced from an analyte-containing solution via highly charged fine droplets, by means of spraying the solution from a narrow-bore needle tip at atmospheric pressure in the presence of a high electric field. When a pressurized gas is used to aid in the formation of a stable spray, the term pneumatically assisted electrospray ionization is used. The term ion spray is not recommended.\" [PSI:MS]"	"MS:1000008 ! ionization type"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000074"	"fast atom bombardment ionization"	"\"FAB\" EXACT []"	"\"The ionization of any species by the interaction of a focused beam of neutral atoms having a translational energy of several thousand eV with a sample that is typically dissolved in a solvent matrix. See also secondary ionization.\" [PSI:MS]"	"MS:1000008 ! ionization type"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000075"	"matrix-assisted laser desorption ionization"	"\"MALDI\" EXACT []"	"\"The formation of gas-phase ions from molecules that are present in a solid or solvent matrix that is irradiated with a pulsed laser. See also laser desorption/ionization.\" [PSI:MS]"	"MS:1000247 ! desorption ionization"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000076"	"negative ion mode"	NA	"\"OBSOLETE.\" [PSI:MS]"	NA	NA	NA	"This term was made obsolete because it was replaced by negative scan (MS:1000129)."	TRUE	NA	NA	NA
"MS:1000077"	"positive ion mode"	NA	"\"OBSOLETE.\" [PSI:MS]"	NA	NA	NA	"This term was made obsolete because it was replaced by positive scan (MS:1000130)."	TRUE	NA	NA	NA
"MS:1000078"	"axial ejection linear ion trap"	NA	"\"A linear ion trap mass spectrometer where ions are ejected along the axis of the analyzer.\" [PSI:MS]"	"MS:1000291 ! linear ion trap"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000079"	"fourier transform ion cyclotron resonance mass spectrometer"	"\"FT_ICR\" EXACT []"	"\"A mass spectrometer based on the principle of ion cyclotron resonance in which an ion in a magnetic field moves in a circular orbit at a frequency characteristic of its m/z value. Ions are coherently excited to a larger radius orbit using a pulse of radio frequency energy and their image charge is detected on receiver plates as a time domain signal. Fourier transformation of the time domain signal results in a frequency domain signal which is converted to a mass spectrum based in the inverse relationship between frequency and m/z.\" [PSI:MS]"	"MS:1000443 ! mass analyzer type"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000080"	"magnetic sector"	NA	"\"A device that produces a magnetic field perpendicular to a charged particle beam that deflects the beam to an extent that is proportional to the particle momentum per unit charge. For a monoenergetic beam, the deflection is proportional to m/z.\" [PSI:MS]"	"MS:1000443 ! mass analyzer type"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000081"	"quadrupole"	NA	"\"A mass spectrometer that consists of four parallel rods whose centers form the corners of a square and whose opposing poles are connected. The voltage applied to the rods is a superposition of a static potential and a sinusoidal radio frequency potential. The motion of an ion in the x and y dimensions is described by the Matthieu equation whose solutions show that ions in a particular m/z range can be transmitted along the z axis.\" [PSI:MS]"	"MS:1000443 ! mass analyzer type"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000082"	"quadrupole ion trap"	"\"Quistor\" EXACT []"	"\"Quadrupole Ion Trap mass analyzer captures the ions in a three dimensional ion trap and then selectively ejects them by varying the RF and DC potentials.\" [PSI:MS]"	"MS:1000264 ! ion trap"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000083"	"radial ejection linear ion trap"	NA	"\"A linear ion trap mass spectrometer where ions are ejected along the radius of the analyzer.\" [PSI:MS]"	"MS:1000291 ! linear ion trap"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000084"	"time-of-flight"	"\"TOF\" EXACT []"	"\"Instrument that separates ions by m/z in a field-free region after acceleration to a fixed acceleration energy.\" [PSI:MS]"	"MS:1000443 ! mass analyzer type"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000085"	"baseline"	NA	"\"An attribute of resolution when recording the detector response in absence of the analyte.\" [PSI:MS]"	"MS:1000012 ! resolution measurement method"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000086"	"full width at half-maximum"	"\"FWHM\" EXACT []"	"\"A measure of resolution represented as width of the peak at half peak height.\" [PSI:MS]"	"MS:1000012 ! resolution measurement method"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000087"	"ten percent valley"	NA	"\"An attribute of resolution when the ratio between adjacent signals is 10% of the signal height.\" [PSI:MS]"	"MS:1000012 ! resolution measurement method"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000088"	"constant"	NA	"\"OBSOLETE When resolution is constant with respect to m/z.\" [PSI:MS]"	NA	NA	NA	"This child of the former purgatory term resolution type was made obsolete."	TRUE	NA	NA	NA
"MS:1000089"	"proportional"	NA	"\"OBSOLETE When resolution is proportional with respect to m/z.\" [PSI:MS]"	NA	NA	NA	"This child of the former purgatory term resolution type was made obsolete."	TRUE	NA	NA	NA
"MS:1000090"	"mass scan"	NA	"\"OBSOLETE A variation of instrument where a selected mass is scanned.\" [PSI:MS]"	NA	NA	NA	"This child of the former purgatory term Scan Function was made obsolete."	TRUE	NA	NA	NA
"MS:1000091"	"selected ion detection"	NA	"\"OBSOLETE Please see Single Ion Monitoring.\" [PSI:MS]"	NA	NA	NA	"This child of the former purgatory term Scan Function was made obsolete."	TRUE	NA	NA	NA
"MS:1000092"	"decreasing m/z scan"	NA	"\"High to low direction in terms of m/z of the scan for scanning analyzers.\" [PSI:MS]"	"MS:1000018 ! scan direction"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000093"	"increasing m/z scan"	NA	"\"Low to high direction in terms of m/z of the scan for scanning analyzers.\" [PSI:MS]"	"MS:1000018 ! scan direction"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000094"	"exponential"	NA	"\"The mass scan is done in exponential mode.\" [PSI:MS]"	"MS:1000019 ! scan law"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000095"	"linear"	NA	"\"OBSOLETE The mass scan is done in linear mode.\" [PSI:MS]"	"MS:1000019 ! scan law"	NA	NA	"This term was made obsolete because it was redundant with the Pato Ontology term linear (UO:0001199)."	TRUE	NA	NA	NA
"MS:1000096"	"quadratic"	NA	"\"The mass scan is done in quadratic mode.\" [PSI:MS]"	"MS:1000019 ! scan law"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000097"	"constant neutral mass loss"	NA	"\"OBSOLETE A spectrum formed of all product ions that have been produced with a selected m/z decrement from any precursor ions. The spectrum shown correlates to the precursor ion spectrum. See also neutral loss spectrum.\" [PSI:MS]"	NA	NA	NA	"This former purgatory term was made obsolete."	TRUE	NA	NA	NA
"MS:1000098"	"multiple ion monitoring"	NA	"\"OBSOLETE Data acquired when monitoring the ion current of a few specific m/z values. Remap to MS:1000205 -Selected Ion Monitoring.\" [PSI:MS]"	NA	NA	NA	"This former purgatory term was made obsolete."	TRUE	NA	NA	NA
"MS:1000099"	"multiple reaction monitoring"	"\"MRM\" EXACT []"	"\"OBSOLETE This term is not recommended. See Selected Reaction Monitoring.\" [PSI:MS]"	NA	NA	NA	"This term was made obsolete because it was merged with selected reaction monitoring (MS:1000206)."	TRUE	NA	NA	NA
"MS:1000100"	"precursor ion scan"	NA	"\"OBSOLETE The specific scan function or process that will record a precursor ion spectrum.\" [PSI:MS]"	NA	NA	NA	"This former purgatory term was made obsolete."	TRUE	NA	NA	NA
"MS:1000101"	"product ion scan"	NA	"\"OBSOLETE The specific scan function or process that records product ion spectrum.\" [PSI:MS]"	NA	NA	NA	"This former purgatory term was made obsolete."	TRUE	NA	NA	NA
"MS:1000102"	"single ion monitoring"	NA	"\"OBSOLETE The operation of a mass spectrometer to monitor a single ion rather than scanning entire mass spectrum.\" [PSI:MS]"	NA	NA	NA	"This term was made obsolete because it was replaced by single ion monitoring (MS:100205)."	TRUE	NA	NA	NA
"MS:1000103"	"single reaction monitoring"	NA	"\"OBSOLETE This term is not recommended. See Selected Reaction Monitoring.\" [PSI:MS]"	NA	NA	NA	"This term was made obsolete because it was replaced by selected reaction monitoring (MS:1000206)."	TRUE	NA	NA	NA
"MS:1000104"	"None ??"	NA	"\"OBSOLETE None.\" [PSI:MS]"	NA	NA	NA	"This term was made obsolete because ."	TRUE	NA	NA	NA
"MS:1000105"	"reflectron off"	NA	"\"Reflectron is off.\" [PSI:MS]"	"MS:1000021 ! reflectron state"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000106"	"reflectron on"	NA	"\"Reflectron is on.\" [PSI:MS]"	"MS:1000021 ! reflectron state"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000107"	"channeltron"	"\"Channeltron Detector\" EXACT []"	"\"A horn-shaped (or cone-shaped) continuous dynode particle multiplier. The ion strikes the inner surface of the device and induces the production of secondary electrons that in turn impinge on the inner surfaces to produce more secondary electrons. This avalanche effect produces an increase in signal in the final measured current pulse.\" [PSI:MS]"	"MS:1000026 ! detector type"	NA	NA	NA	FALSE	NA	NA	NA
